9-s2.0-10038928100,South Dakota School of Mines &amp; Technology,Rapid City,United States 
9-s2.0-10039124600,University of Florida,Gainesville,United States 
9-s2.0-10041923700,University of Waterloo,Waterloo,Canada 
9-s2.0-10043205600,University of Pennsylvania Perelman School of Medicine,Philadelphia,United States 
9-s2.0-10043216700,"Luddy School of Informatics, Computing, and Engineering",Bloomington,United States 
9-s2.0-10143278800,Colorado State University,Fort Collins,United States 
9-s2.0-10240465000,American Museum of Natural History,New York,United States 
9-s2.0-10243379500,Harvard Medical School,Boston,United States 
9-s2.0-10244805800,California Institute of Technology,Pasadena,United States 
9-s2.0-10439724400,Cornell University Weill Institute for Cell and Molecular Biology,Ithaca,United States 
9-s2.0-10539412000,University of Notre Dame,Notre Dame,United States 
9-s2.0-10540155500,Wayne State University,Detroit,United States 
9-s2.0-10639199500,Brunel University London,Uxbridge,United Kingdom 
9-s2.0-10641868200,North Slope Borough,Barrow,United States 
9-s2.0-10739902200,The University of Texas at Austin,Austin,United States 
9-s2.0-10839559500,Ohio State University at Newark,Newark,United States 
9-s2.0-11141536600,"University of California, San Francisco",San Francisco,United States 
9-s2.0-11240212800,Laboratoire Joseph-Louis Lagrange,Nice,France 
9-s2.0-11240717600,University of Notre Dame,Notre Dame,United States 
9-s2.0-11241128600,"Istituto Nazionale di Fisica Nucleare, Sezione di Bari",Bari,Italy 
9-s2.0-11241467500,Maseno University,Maseno,Kenya 
9-s2.0-11241597800,Albany College of Pharmacy,Albany,United States 
9-s2.0-11439948600,College of Science,West Lafayette,United States 
9-s2.0-11539268600,University of Houston,Houston,United States 
9-s2.0-11639870300,Kansas State University,Manhattan,United States 
9-s2.0-11640737300,The Ohio State University,Columbus,United States 
9-s2.0-11641232000,Hôpital du Sacré-Coeur de Montréal,Montreal,Canada 
9-s2.0-11840381500,"University of South Florida, Tampa",Tampa,United States 
9-s2.0-11940384600,Respiratory Syncytial Virus Network (ReSViNET), null,Italy 
9-s2.0-11940936200,CNRS Centre National de la Recherche Scientifique,Paris,France 
9-s2.0-12041408400,Centre Hospitalier de L'Universite de Montreal, null,Canada 
9-s2.0-12143057200,Wayne State University,Detroit,United States 
9-s2.0-12345631500,University of Virginia,Charlottesville,United States 
9-s2.0-12645190700,Medical College of Wisconsin,Milwaukee,United States 
9-s2.0-12645316500,Harvard University,Cambridge,United States 
9-s2.0-12751951100,University of Notre Dame,Notre Dame,United States 
9-s2.0-12754105300,Methodist Hospital Houston,Houston,United States 
9-s2.0-12767466400,Oregon Health &amp; Science University,Portland,United States 
9-s2.0-12767798900,"Academia Sinica, Institute Of Physics",Taipei,Taiwan 
9-s2.0-12770860700,Medical University of South Carolina,Charleston,United States 
9-s2.0-12774450700,The University of New Mexico,Albuquerque,United States 
9-s2.0-12775052300,Alma Mater Studiorum Università di Bologna,Bologna,Italy 
9-s2.0-12775370900,St. Jude Children's Research Hospital,"Memphis TN,",United States 
9-s2.0-12776054300,Pennsylvania State University,University Park,United States 
9-s2.0-12776358400,Georgetown Lombardi Comprehensive Cancer Center,"Washington, D.C.",United States 
9-s2.0-12776393300,University of Kansas Health System,Kansas City,United States 
9-s2.0-12777671100,Universiteit Antwerpen,Antwerpen,Belgium 
9-s2.0-12778624500,Korea University,Seoul,South Korea 
9-s2.0-12779628700,New York Presbyterian Hospital,New York,United States 
9-s2.0-12780413800,"University of California, San Francisco",San Francisco,United States 
9-s2.0-12782513900,The University of British Columbia,Vancouver,Canada 
9-s2.0-12786121500,Memorial Sloan-Kettering Cancer Center,New York,United States 
9-s2.0-12786556000,deCODE genetics,Reykjavik,Iceland 
9-s2.0-12791813200,U.S. Department of Energy Joint Genome Institute,Walnut Creek,United States 
9-s2.0-12792693100,University of Idaho,Moscow,United States 
9-s2.0-12793735400,Liverpool School of Tropical Medicine,Liverpool,United Kingdom 
9-s2.0-12796878300,Rutgers University–New Brunswick,New Brunswick,United States 
9-s2.0-12797196900,"Universidad de Los Andes, Colombia",Bogota,Colombia 
9-s2.0-12798065500,University of Missouri,Columbia,United States 
9-s2.0-12801197700,Epicentre,Paris,France 
9-s2.0-12801327300,Johns Hopkins University,Baltimore,United States 
9-s2.0-12801893100,Université de Strasbourg,Strasbourg,France 
9-s2.0-13004063000,University of Notre Dame,Notre Dame,United States 
9-s2.0-13004394100,Sorbonne Universite,Paris,France 
9-s2.0-13009145700,Imperial College London,London,United Kingdom 
9-s2.0-13205375400,Emory University,Atlanta,United States 
9-s2.0-13309235000,China Institute of Sport Science,Beijing,China 
9-s2.0-13310151100,Pusan National University,Busan,South Korea 
9-s2.0-13310169400,State Key Laboratory of Applied Organic Chemistry,Lanzhou,China 
9-s2.0-13404061700,Indiana University-Purdue University Indianapolis,Indianapolis,United States 
9-s2.0-13404065800,"A-Star, Genome Institute of Singapore",Singapore City,Singapore 
9-s2.0-13405745100,Michigan State University,East Lansing,United States 
9-s2.0-13410209800,Pacific Northwest National Laboratory,Richland,United States 
9-s2.0-13410566300,Utah State University,Logan,United States 
9-s2.0-13604675800,Chonbuk National University Hospital,Jeonju,South Korea 
9-s2.0-13605421200,University of South Dakota,Vermillion,United States 
9-s2.0-13605819800,Weatherall Institute of Molecular Medicine,Oxford,United Kingdom 
9-s2.0-13609163500,Memorial Sloan-Kettering Cancer Center,New York,United States 
